HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2456461.84122,2013-06-18.3417303,bb,2.10,13.689,7.909,0.004,2631.876,9.621
2456461.84260,2013-06-18.3431092,bb,2.06,13.676,7.874,0.004,2719.227,10.686
2456461.84693,2013-06-18.3474450,bb,2.05,13.771,8.003,0.004,2415.550,9.922
2456461.84831,2013-06-18.3488219,bb,2.05,13.799,8.051,0.004,2308.520,9.009
2456464.84101,2013-06-21.3416155,bb,2.09,13.691,7.936,0.004,2568.025,10.532
2456464.84239,2013-06-21.3429961,bb,2.06,13.671,7.898,0.004,2659.315,9.356
2456464.85495,2013-06-21.3555659,bb,2.15,13.791,8.061,0.004,2287.512,8.458
2456464.85632,2013-06-21.3569344,bb,2.16,13.769,8.025,0.004,2366.644,9.678
2456470.88191,2013-06-27.3827159,bb,1.75,13.850,8.078,0.004,2252.890,7.740
2456470.88332,2013-06-27.3841202,bb,1.82,13.860,8.100,0.004,2207.291,7.450
2456470.88755,2013-06-27.3883564,bb,1.79,13.793,8.024,0.003,2365.779,6.746
2456470.88894,2013-06-27.3897420,bb,1.82,13.784,8.014,0.003,2389.696,7.470
2456475.84141,2013-07-02.3423635,bb,2.06,13.807,8.037,0.004,2339.730,8.805
2456475.84278,2013-07-02.3437319,bb,2.07,13.816,8.054,0.004,2302.182,8.183
2456475.84977,2013-07-02.3507273,bb,2.05,13.746,7.991,0.003,2442.490,6.744
2456475.85115,2013-07-02.3521064,bb,2.07,13.720,7.940,0.003,2559.971,8.004
2456480.81644,2013-07-07.3175380,bb,1.73,13.603,7.885,0.004,2690.902,9.066
2456480.81782,2013-07-07.3189201,bb,1.70,13.640,7.919,0.004,2607.184,8.848
2456480.88344,2013-07-07.3845450,bb,1.63,13.869,8.197,0.006,2018.458,11.035
2456480.88482,2013-07-07.3859224,bb,1.69,13.868,8.134,0.004,2140.264,7.050
2456485.78295,2013-07-12.2841922,bb,2.06,13.718,7.925,0.004,2593.215,8.457
2456485.78432,2013-07-12.2855584,bb,2.08,13.693,7.873,0.003,2721.622,7.664
2456485.78868,2013-07-12.2899211,bb,2.03,13.825,8.060,0.004,2288.810,8.331
2456485.79005,2013-07-12.2912962,bb,2.04,13.825,8.065,0.004,2279.717,7.764
2456489.78980,2013-07-16.2911461,bb,2.11,13.663,7.902,0.003,2648.464,8.570
2456489.79117,2013-07-16.2925149,bb,2.05,13.706,8.000,0.004,2419.881,8.563
2456489.79258,2013-07-16.2939225,bb,2.10,13.753,8.022,0.004,2371.983,9.395
2456489.79396,2013-07-16.2953059,bb,2.09,13.754,8.009,0.004,2401.283,9.872
2456490.77806,2013-07-17.2794356,bb,2.28,13.621,7.823,0.005,2847.028,12.114
2456490.77943,2013-07-17.2808037,bb,2.24,13.610,7.800,0.004,2912.409,10.158
2456494.79681,2013-07-21.2982840,bb,1.81,13.867,8.168,0.004,2073.432,6.802
2456494.79818,2013-07-21.2996556,bb,1.76,13.856,8.130,0.004,2147.879,7.956
2456494.85784,2013-07-21.3593148,bb,1.80,13.736,7.966,0.003,2497.197,7.877
2456494.85922,2013-07-21.3606972,bb,1.79,13.788,8.064,0.005,2281.750,9.573
2456509.77223,2013-08-05.2740010,bb,2.07,13.695,7.897,0.003,2662.162,8.323
2456509.77413,2013-08-05.2759141,bb,2.07,13.733,7.969,0.004,2491.469,8.688
2456509.77641,2013-08-05.2781835,bb,2.07,13.785,8.007,0.004,2405.274,8.494
2456509.77873,2013-08-05.2805068,bb,2.02,13.802,8.043,0.004,2327.300,8.484
2456512.76919,2013-08-08.2710144,bb,2.10,13.660,7.866,0.003,2737.685,8.027
2456512.77078,2013-08-08.2726046,bb,2.08,13.658,7.873,0.003,2721.164,8.355
2456516.75994,2013-08-12.2618271,bb,2.48,13.737,8.008,0.005,2403.250,11.489
2456516.76131,2013-08-12.2631912,bb,2.39,13.739,7.998,0.005,2424.151,11.156
2456520.75890,2013-08-16.2608341,bb,2.36,13.728,7.992,0.005,2438.001,11.028
2456520.76027,2013-08-16.2622046,bb,2.26,13.710,7.949,0.005,2536.665,10.769
2456522.74852,2013-08-18.2504667,bb,2.20,13.646,7.953,0.004,2527.686,9.728
2456522.74988,2013-08-18.2518297,bb,2.17,13.596,7.830,0.004,2829.497,9.836
2456534.72436,2013-08-30.2263909,bb,2.30,13.606,7.895,0.006,2667.296,13.712
2456534.72572,2013-08-30.2277528,bb,2.30,13.581,7.818,0.005,2862.015,14.198
2456536.73151,2013-09-01.2335446,bb,2.43,13.141,7.538,0.008,3703.522,28.529
2456536.73288,2013-09-01.2349167,bb,2.31,12.966,7.497,0.011,3845.475,38.873
2456537.72103,2013-09-02.2230681,bb,2.43,13.575,7.945,0.009,2548.030,20.441
2456683.03070,2014-01-25.5291215,bb,1.75,13.777,8.006,0.005,2406.206,11.340
2456683.03259,2014-01-25.5310111,bb,1.71,13.763,7.971,0.005,2486.819,11.855
2456684.03183,2014-01-26.5302337,bb,2.10,13.741,7.938,0.005,2562.426,11.977
2456684.03401,2014-01-26.5324141,bb,2.10,13.737,7.935,0.005,2570.206,11.376
2456701.97302,2014-02-13.4711334,bb,2.05,13.251,8.077,0.014,2255.490,29.411
2456736.87202,2014-03-20.3696951,bb,1.77,13.727,7.965,0.004,2499.352,9.831
2456736.87333,2014-03-20.3710053,bb,1.79,13.721,7.949,0.005,2536.677,11.029
2456741.11683,2014-03-24.6145425,bb,2.24,13.709,7.932,0.003,2576.449,7.636
2456741.11816,2014-03-24.6158804,bb,2.24,13.701,7.922,0.003,2601.108,7.202
2456743.96698,2014-03-27.4647383,bb,2.22,13.697,7.904,0.004,2644.744,9.153
2456743.96831,2014-03-27.4660714,bb,2.20,13.724,7.953,0.004,2528.728,9.014
2456756.02639,2014-04-08.5243406,bb,2.26,13.412,7.856,0.006,2765.065,14.630
2456756.02784,2014-04-08.5257910,bb,2.09,13.366,7.956,0.005,2520.362,10.894
2456756.82158,2014-04-09.3195479,bb,1.72,13.723,7.975,0.005,2476.343,10.691
2456756.82288,2014-04-09.3208534,bb,1.72,13.709,7.953,0.004,2526.920,10.373
2456758.95124,2014-04-11.4492519,bb,1.69,13.797,8.020,0.004,2375.608,9.649
2456758.95255,2014-04-11.4505731,bb,1.79,13.802,8.028,0.005,2359.053,10.011
2456766.95058,2014-04-19.4487732,bb,1.66,99.990,99.990,99.990,99.990,99.990
2456771.94376,2014-04-24.4420868,bb,2.06,13.820,8.082,0.004,2244.562,7.983
2456771.94524,2014-04-24.4435722,bb,2.00,13.788,8.001,0.004,2417.192,9.577
2456781.91160,2014-05-04.4102135,bb,1.70,13.691,7.915,0.004,2617.959,8.567
2456781.91294,2014-05-04.4115472,bb,1.76,13.706,7.922,0.004,2600.976,9.804
2456782.77850,2014-05-05.2771371,bb,1.70,13.764,8.012,0.005,2394.114,10.156
2456782.77985,2014-05-05.2784886,bb,1.68,13.750,7.987,0.004,2449.299,9.241
2456785.91457,2014-05-08.4133024,bb,1.62,13.782,7.994,0.004,2433.903,8.927
2456785.91591,2014-05-08.4146427,bb,1.69,13.785,8.002,0.004,2416.303,8.241
2456788.89076,2014-05-11.3895782,bb,2.00,13.732,7.924,0.004,2595.047,10.308
2456788.89209,2014-05-11.3909136,bb,2.00,13.766,7.998,0.004,2424.831,8.346
2456796.01230,2014-05-18.5113496,bb,1.63,13.783,8.029,0.004,2356.731,7.720
2456796.01362,2014-05-18.5126771,bb,1.70,13.794,8.045,0.004,2321.670,8.822
2456797.90437,2014-05-20.4034854,bb,1.80,13.760,7.937,0.003,2565.057,8.099
2456797.90574,2014-05-20.4048542,bb,1.74,13.775,7.973,0.003,2483.155,7.834
2456799.95045,2014-05-22.4496365,bb,1.76,13.739,7.899,0.004,2656.672,8.603
2456799.95182,2014-05-22.4509991,bb,1.71,13.753,7.935,0.003,2570.089,6.961
2456801.87983,2014-05-24.3790788,bb,1.72,13.777,7.990,0.003,2442.607,7.880
2456801.88118,2014-05-24.3804292,bb,1.65,13.796,8.026,0.004,2363.291,7.874
2456803.89384,2014-05-26.3931582,bb,1.72,13.659,7.971,0.004,2486.630,8.806
2456803.89524,2014-05-26.3945534,bb,1.70,13.700,7.973,0.004,2480.369,9.440
2456807.90045,2014-05-30.3999009,bb,1.99,13.737,7.938,0.003,2562.323,6.775
2456807.90178,2014-05-30.4012380,bb,1.99,13.727,7.920,0.003,2604.568,6.671
2456811.89542,2014-06-03.3950122,bb,1.71,13.758,7.948,0.003,2538.112,7.713
2456811.89675,2014-06-03.3963462,bb,1.73,13.780,7.997,0.003,2428.883,6.598
2456813.85545,2014-06-05.3551069,bb,1.97,13.458,7.990,0.004,2442.445,10.075
2456813.85679,2014-06-05.3564446,bb,1.81,13.407,7.876,0.004,2713.924,10.666
2456816.87377,2014-06-08.3735317,bb,1.81,13.775,7.991,0.004,2441.834,7.915
2456816.87515,2014-06-08.3749116,bb,1.77,13.781,8.009,0.003,2401.247,6.516
2456817.85525,2014-06-09.3550428,bb,1.87,13.757,7.961,0.003,2508.744,7.644
2456817.85658,2014-06-09.3563800,bb,2.01,13.762,7.973,0.004,2481.397,8.076
2456818.85457,2014-06-10.3543954,bb,1.77,13.784,8.009,0.003,2400.134,7.472
2456818.85597,2014-06-10.3557944,bb,1.67,13.790,8.019,0.003,2377.615,7.347
2456819.85808,2014-06-11.3579417,bb,1.79,13.789,8.019,0.004,2378.411,8.924
2456819.85947,2014-06-11.3593312,bb,1.80,13.812,8.066,0.004,2279.496,8.253
2456822.94723,2014-06-14.4471940,bb,2.20,13.732,8.004,0.004,2412.663,9.833
2456822.94863,2014-06-14.4486045,bb,2.20,13.681,7.907,0.004,2635.939,9.549
2456826.92914,2014-06-18.4292400,bb,2.14,13.716,7.938,0.003,2562.412,7.134
2456826.93057,2014-06-18.4306723,bb,2.20,13.737,7.977,0.003,2470.434,7.120
2456828.87244,2014-06-20.3726017,bb,2.27,13.681,7.898,0.003,2659.509,8.590
2456828.87387,2014-06-20.3740324,bb,2.23,13.696,7.891,0.003,2676.612,7.877
2456832.84911,2014-06-24.3494006,bb,1.77,13.764,7.990,0.003,2442.209,6.569
2456832.85052,2014-06-24.3508182,bb,1.76,13.770,8.003,0.003,2414.719,7.019
2456835.92408,2014-06-27.4244703,bb,1.65,13.748,7.980,0.003,2463.798,7.444
2456835.92552,2014-06-27.4259123,bb,1.66,13.741,7.970,0.003,2487.384,7.672
2456846.81866,2014-07-08.3193784,bb,1.68,13.763,7.992,0.004,2439.289,9.217
2456846.82006,2014-07-08.3207849,bb,1.66,13.766,7.995,0.004,2430.723,9.454
2456847.91968,2014-07-09.4204292,bb,1.78,13.730,8.024,0.004,2369.251,8.269
2456847.92111,2014-07-09.4218652,bb,1.71,13.707,7.974,0.004,2477.909,8.781
2456851.80724,2014-07-13.3081015,bb,1.72,13.757,7.975,0.004,2476.748,8.626
2456851.80866,2014-07-13.3095231,bb,1.71,13.761,7.996,0.004,2429.857,10.004
2456853.88381,2014-07-15.3847266,bb,2.08,13.605,7.940,0.005,2557.812,12.342
2456853.88521,2014-07-15.3861265,bb,2.17,13.607,7.933,0.005,2575.533,11.040
2456862.78529,2014-07-24.2864170,bb,1.74,13.741,7.952,0.003,2530.656,6.892
2456862.78680,2014-07-24.2879240,bb,1.74,13.752,7.975,0.003,2475.598,7.210
2456865.79452,2014-07-27.2957251,bb,1.71,13.784,8.022,0.003,2373.329,6.429
2456865.79603,2014-07-27.2972261,bb,1.75,13.756,7.975,0.003,2476.575,6.477
2456867.79279,2014-07-29.2940218,bb,1.67,13.742,7.945,0.003,2546.778,7.555
2456867.79452,2014-07-29.2957557,bb,1.73,13.732,7.930,0.003,2580.260,7.374
2456869.77234,2014-07-31.2736168,bb,1.63,13.589,7.930,0.003,2581.196,8.263
2456869.77375,2014-07-31.2750204,bb,1.69,13.468,7.898,0.003,2658.279,6.969
2456873.76589,2014-08-04.2672416,bb,1.75,13.698,7.992,0.004,2438.986,8.357
2456873.76732,2014-08-04.2686658,bb,1.75,13.644,7.905,0.004,2642.113,9.994
2456874.76907,2014-08-05.2704396,bb,2.04,13.702,7.923,0.004,2597.663,8.975
2456874.77128,2014-08-05.2726445,bb,1.74,13.716,7.941,0.004,2555.869,8.974
2456875.77789,2014-08-06.2792752,bb,2.06,13.682,7.889,0.004,2681.401,9.093
2456875.77979,2014-08-06.2811719,bb,2.01,13.719,7.951,0.004,2533.325,9.095
2456881.82721,2014-08-12.3286879,bb,1.79,13.726,7.997,0.004,2428.869,8.450
2456881.82858,2014-08-12.3300576,bb,1.66,13.748,8.045,0.004,2323.371,9.485
2456882.74891,2014-08-13.2503927,bb,1.66,13.728,7.931,0.003,2578.195,7.245
2456882.75030,2014-08-13.2517807,bb,1.75,13.720,7.916,0.003,2616.089,8.030
2456884.74901,2014-08-15.2505185,bb,1.79,13.741,7.975,0.003,2475.258,7.246
2456884.75066,2014-08-15.2521652,bb,1.79,13.737,7.978,0.003,2469.218,7.756
2456886.75332,2014-08-17.2548490,bb,1.74,13.735,7.967,0.003,2496.241,7.111
2456886.75491,2014-08-17.2564478,bb,1.73,13.717,7.932,0.003,2574.966,7.298
2456887.75108,2014-08-18.2526163,bb,1.65,13.746,7.972,0.003,2482.281,7.494
2456887.75257,2014-08-18.2541129,bb,1.68,13.751,7.987,0.003,2450.317,6.927
2456890.73900,2014-08-21.2405699,bb,1.70,13.731,7.955,0.003,2523.249,7.924
2456890.74039,2014-08-21.2419608,bb,1.68,13.723,7.936,0.004,2566.076,8.580
2456894.73671,2014-08-25.2383093,bb,1.70,13.721,7.935,0.003,2569.938,8.148
2456894.73812,2014-08-25.2397218,bb,1.65,13.741,7.976,0.004,2474.687,8.431
2456897.72906,2014-08-28.2306782,bb,1.71,13.742,8.015,0.004,2386.958,9.301
2456897.73048,2014-08-28.2320984,bb,1.70,13.740,7.997,0.004,2426.136,9.065
2456899.76935,2014-08-30.2709708,bb,1.78,13.666,7.891,0.003,2674.886,7.882
2456899.77080,2014-08-30.2724196,bb,1.83,13.670,7.892,0.003,2672.787,8.302
2456904.72453,2014-09-04.2261636,bb,1.80,13.710,7.972,0.005,2483.106,12.598
2456904.72593,2014-09-04.2275578,bb,1.75,13.717,7.973,0.005,2480.568,11.052
2456905.72107,2014-09-05.2226959,bb,1.72,13.736,8.058,0.006,2295.615,12.399
2456905.72258,2014-09-05.2242076,bb,1.77,13.761,8.071,0.006,2268.060,11.605
2456908.73908,2014-09-08.2407116,bb,2.10,13.624,7.888,0.005,2684.449,13.418
2456908.74056,2014-09-08.2421961,bb,2.09,13.621,7.896,0.004,2662.736,11.007
2456916.71672,2014-09-16.2183160,bb,1.98,13.689,7.935,0.005,2571.305,11.914
2456916.71819,2014-09-16.2198160,bb,1.80,13.724,8.003,0.004,2414.779,9.623
2456921.71350,2014-09-21.2150515,bb,1.81,13.721,8.000,0.005,2420.590,11.476
2456921.71500,2014-09-21.2165511,bb,1.77,13.704,7.950,0.005,2535.060,10.936
2456922.71010,2014-09-22.2116366,bb,1.84,13.719,8.032,0.006,2351.240,12.254
2456922.71152,2014-09-22.2130567,bb,1.79,13.691,7.957,0.004,2519.656,9.525
2456993.16033,2014-12-01.6600465,bb,1.64,13.702,7.989,0.005,2445.570,10.956
2456993.16182,2014-12-01.6615422,bb,1.65,13.710,8.003,0.005,2415.730,10.548
2457003.14396,2014-12-11.6433365,bb,2.11,13.687,7.967,0.004,2494.466,8.956
2457003.14537,2014-12-11.6447438,bb,2.09,13.667,7.935,0.004,2568.829,9.318
2457004.14430,2014-12-12.6436371,bb,2.07,13.691,7.961,0.004,2509.673,8.308
2457011.15210,2014-12-19.6511892,bb,2.16,13.665,7.916,0.004,2614.701,8.666
2457011.15356,2014-12-19.6526513,bb,2.13,13.684,7.947,0.004,2539.546,8.347
2457030.13195,2015-01-07.6304280,bb,2.11,13.674,7.958,0.005,2516.435,10.507
2457031.12856,2015-01-08.6270197,bb,1.63,13.716,7.982,0.004,2460.544,10.237
2457035.12975,2015-01-12.6280957,bb,1.85,13.707,7.973,0.005,2481.917,10.389
2457035.13114,2015-01-12.6294877,bb,1.80,13.702,7.963,0.004,2505.298,10.014
2457036.13082,2015-01-13.6291339,bb,1.99,13.712,7.964,0.004,2500.358,8.452
2457039.12354,2015-01-16.6217798,bb,2.12,13.672,7.920,0.003,2605.972,6.833
2457039.12494,2015-01-16.6231744,bb,2.21,13.687,7.949,0.003,2534.964,6.937
2457041.10780,2015-01-18.6059862,bb,1.72,13.702,7.961,0.004,2508.715,8.911
2457041.10922,2015-01-18.6074023,bb,1.73,13.712,7.969,0.004,2489.943,9.344
2457045.11779,2015-01-22.6158773,bb,1.68,13.716,7.953,0.003,2528.125,7.908
2457045.11918,2015-01-22.6172666,bb,1.74,13.735,7.995,0.004,2430.310,8.064
2457048.09231,2015-01-25.5903293,bb,2.09,13.693,7.940,0.004,2557.662,8.359
2457048.09371,2015-01-25.5917349,bb,2.04,13.698,7.949,0.003,2538.225,8.222
2457051.09615,2015-01-28.5941114,bb,1.71,13.706,7.949,0.003,2538.062,8.009
2457053.08546,2015-01-30.5833777,bb,2.35,13.630,7.867,0.003,2736.859,8.302
2457053.08684,2015-01-30.5847607,bb,2.39,13.658,7.922,0.003,2601.380,8.305
2457056.09955,2015-02-02.5974168,bb,1.82,13.732,7.989,0.005,2444.752,10.480
2457056.10117,2015-02-02.5990349,bb,1.69,13.720,7.979,0.005,2465.935,10.483
2457062.02427,2015-02-08.5220416,bb,1.75,13.675,7.932,0.004,2576.052,9.163
2457062.02572,2015-02-08.5234932,bb,1.73,13.690,7.953,0.005,2526.993,10.832
2457069.01721,2015-02-15.5148923,bb,2.03,13.670,7.938,0.004,2562.192,9.427
2457069.01877,2015-02-15.5164469,bb,2.11,13.651,7.926,0.004,2589.792,9.118
2457072.04468,2015-02-18.5423287,bb,1.73,13.693,7.918,0.004,2610.648,8.814
2457072.04609,2015-02-18.5437362,bb,1.70,13.716,7.959,0.004,2511.861,8.553
2457077.03169,2015-02-23.5292898,bb,1.70,13.728,8.008,0.004,2404.298,9.272
2457077.03309,2015-02-23.5306938,bb,1.74,13.694,7.944,0.004,2548.989,9.989
2457081.01960,2015-02-27.5172043,bb,1.74,13.718,7.984,0.004,2456.473,8.673
2457081.02106,2015-02-27.5186622,bb,1.69,13.726,7.999,0.004,2422.153,8.843
2457085.03077,2015-03-03.5283611,bb,2.00,13.683,7.985,0.004,2453.902,9.416
2457085.03218,2015-03-03.5297781,bb,2.06,13.695,8.002,0.004,2416.210,9.525
2457095.06607,2015-03-13.5636883,bb,1.70,13.670,7.938,0.004,2561.646,9.727
2457095.06763,2015-03-13.5652511,bb,1.78,13.678,7.955,0.004,2521.310,8.849
2457097.00931,2015-03-15.5069385,bb,1.68,13.723,8.013,0.004,2391.462,9.664
2457097.01084,2015-03-15.5084693,bb,1.66,13.712,7.994,0.004,2434.744,8.752
2457100.15855,2015-03-18.6566127,bb,1.63,13.694,7.970,0.004,2488.217,9.284
2457100.16015,2015-03-18.6582092,bb,1.73,13.734,8.076,0.006,2256.646,11.951
2457101.00964,2015-03-19.5077224,bb,1.67,13.714,7.968,0.004,2492.404,8.858
2457101.01118,2015-03-19.5092601,bb,1.64,13.696,7.931,0.004,2580.644,10.626
2457103.94272,2015-03-22.4408299,bb,1.61,13.698,7.981,0.004,2462.331,9.755
2457103.94433,2015-03-22.4424392,bb,1.66,13.679,7.941,0.004,2555.956,9.591
2457106.93756,2015-03-25.4357001,bb,1.66,13.683,7.988,0.004,2447.688,8.595
2457106.93918,2015-03-25.4373237,bb,1.66,13.693,8.004,0.004,2411.562,8.664
2457110.89663,2015-03-29.3948324,bb,1.64,13.676,7.942,0.004,2554.302,9.785
2457110.89821,2015-03-29.3963982,bb,1.77,13.693,7.970,0.004,2488.469,9.113
2457114.88715,2015-04-02.3853969,bb,1.77,13.660,7.975,0.004,2476.737,9.690
2457114.88867,2015-04-02.3869203,bb,1.78,13.691,8.025,0.005,2364.668,10.325
2457116.99346,2015-04-04.4917552,bb,1.63,13.686,7.949,0.004,2536.129,8.903
2457116.99503,2015-04-04.4933238,bb,1.70,13.709,7.990,0.004,2442.870,8.960
2457119.00327,2015-04-06.5016020,bb,1.70,13.697,8.002,0.004,2417.002,8.135
2457119.00483,2015-04-06.5031561,bb,1.76,13.688,7.975,0.004,2478.428,8.734
2457122.08744,2015-04-09.5858331,bb,1.71,13.679,7.935,0.003,2568.489,7.513
2457122.08905,2015-04-09.5874429,bb,1.69,13.678,7.935,0.003,2571.170,7.526
2457122.91836,2015-04-10.4167693,bb,1.71,13.705,7.986,0.004,2450.554,8.512
2457122.91998,2015-04-10.4183881,bb,1.67,13.706,7.992,0.004,2437.126,9.088
2457124.97621,2015-04-12.4746628,bb,1.76,13.687,7.924,0.003,2594.938,8.156
2457124.97778,2015-04-12.4762266,bb,1.68,13.702,7.958,0.003,2515.822,7.998
2457127.96022,2015-04-15.4587306,bb,1.65,13.706,7.985,0.004,2456.390,8.148
2457127.96177,2015-04-15.4602813,bb,1.67,13.697,7.953,0.004,2528.392,9.011
2457132.91681,2015-04-20.4154422,bb,1.79,13.697,7.959,0.004,2513.671,8.245
2457132.91843,2015-04-20.4170642,bb,1.67,13.676,7.920,0.004,2605.299,9.800
2457136.85020,2015-04-24.3489348,bb,1.74,13.549,7.968,0.005,2492.676,11.621
2457136.85176,2015-04-24.3504908,bb,1.70,13.568,7.996,0.005,2429.669,10.775
2457137.84710,2015-04-25.3458583,bb,1.82,13.658,7.933,0.004,2573.822,10.036
2457137.84870,2015-04-25.3474631,bb,1.68,13.662,7.916,0.004,2616.713,10.334
2457138.96839,2015-04-26.4671688,bb,1.67,13.704,7.938,0.004,2562.541,8.359
2457138.96996,2015-04-26.4687396,bb,1.65,13.704,7.939,0.003,2560.849,7.798
2457145.79189,2015-05-03.2908622,bb,1.68,13.679,8.027,0.004,2361.470,9.153
2457145.79346,2015-05-03.2924288,bb,1.63,13.674,8.001,0.005,2417.444,11.322
2457148.99189,2015-05-06.4909623,bb,1.69,13.699,7.984,0.004,2457.954,9.986
2457148.99340,2015-05-06.4924717,bb,1.67,13.675,7.942,0.004,2553.198,10.130
2457149.88969,2015-05-07.3887877,bb,1.80,13.584,7.960,0.006,2511.884,14.406
2457149.89124,2015-05-07.3903417,bb,1.73,13.561,7.978,0.004,2468.806,10.059
2457152.04107,2015-05-09.5402290,bb,1.86,13.239,7.860,0.005,2754.101,12.408
2457152.04272,2015-05-09.5418829,bb,1.80,13.121,7.855,0.008,2765.012,18.990
2457155.86586,2015-05-13.3651422,bb,1.59,13.568,7.978,0.004,2469.774,8.374
2457155.86814,2015-05-13.3674195,bb,1.74,13.172,7.860,0.005,2752.847,12.888
2457156.84361,2015-05-14.3429277,bb,1.75,13.665,7.938,0.003,2563.737,8.247
2457156.84521,2015-05-14.3445233,bb,1.68,13.674,7.955,0.004,2522.790,9.030
2457160.89963,2015-05-18.3990755,bb,1.73,13.691,7.941,0.004,2554.345,9.065
2457160.90122,2015-05-18.4006722,bb,1.59,13.710,7.983,0.003,2459.707,7.486
2457164.85590,2015-05-22.3554864,bb,1.66,13.698,7.967,0.004,2496.162,9.042
2457164.85750,2015-05-22.3570873,bb,1.68,13.691,7.956,0.004,2519.429,8.346
2457167.88246,2015-05-25.3821674,bb,1.69,13.716,7.984,0.004,2455.162,9.568
2457167.88406,2015-05-25.3837625,bb,2.24,13.597,7.832,0.004,2824.463,9.671
2457171.93925,2015-05-29.4390759,bb,1.66,13.726,8.019,0.003,2378.661,7.430
2457171.94078,2015-05-29.4406045,bb,1.64,13.694,7.955,0.003,2522.958,8.145
2457177.95911,2015-06-04.4591562,bb,1.73,13.709,8.015,0.004,2388.202,8.962
2457177.96068,2015-06-04.4607237,bb,1.62,13.702,8.003,0.004,2413.078,9.641
2457178.85956,2015-06-05.3596363,bb,1.80,13.713,8.014,0.004,2390.181,8.464
2457178.86120,2015-06-05.3612783,bb,1.66,13.704,8.003,0.004,2414.138,8.068
2457183.84261,2015-06-10.3428561,bb,1.68,13.700,7.978,0.003,2470.617,6.877
2457183.84420,2015-06-10.3444376,bb,1.72,13.731,8.035,0.004,2343.163,8.030
2457188.90664,2015-06-15.4070599,bb,1.67,13.617,7.923,0.003,2599.564,7.536
2457188.90823,2015-06-15.4086516,bb,1.69,13.585,7.951,0.003,2531.465,7.859
2457190.81959,2015-06-17.3200766,bb,2.25,12.765,7.603,0.005,3491.213,17.061
2457190.82111,2015-06-17.3215899,bb,2.20,12.662,7.602,0.006,3491.273,20.158
2457193.92049,2015-06-20.4210636,bb,1.74,13.678,7.950,0.003,2535.017,7.552
2457193.92205,2015-06-20.4226143,bb,1.81,13.683,7.958,0.003,2516.514,7.439
2457196.77652,2015-06-23.2771836,bb,1.80,13.679,7.918,0.004,2610.220,8.463
2457196.77803,2015-06-23.2786975,bb,1.84,13.697,7.955,0.004,2523.056,8.588
2457199.86693,2015-06-26.3677061,bb,1.63,13.693,7.961,0.004,2509.873,8.789
2457199.86845,2015-06-26.3692216,bb,1.63,13.682,7.941,0.004,2557.251,9.103
2457204.87764,2015-07-01.3785488,bb,1.70,13.702,8.011,0.005,2396.527,10.340
2457204.87916,2015-07-01.3800688,bb,1.68,13.701,8.012,0.004,2393.665,9.188
2457206.88615,2015-07-03.3871186,bb,1.69,13.688,8.058,0.004,2295.483,9.164
2457206.88770,2015-07-03.3886762,bb,1.63,13.641,7.976,0.004,2475.583,9.166
2457210.79701,2015-07-07.2980951,bb,1.75,13.706,7.995,0.004,2432.408,8.164
2457210.79859,2015-07-07.2996726,bb,1.71,13.682,7.952,0.004,2529.387,8.290
2457212.78102,2015-07-09.2821615,bb,1.98,13.683,7.938,0.004,2562.042,10.163
2457212.78259,2015-07-09.2837298,bb,1.81,13.691,7.956,0.004,2520.232,8.458
2457217.82348,2015-07-14.3247618,bb,1.80,13.662,7.937,0.004,2565.382,9.345
2457217.82499,2015-07-14.3262693,bb,1.79,13.668,7.959,0.004,2513.743,9.163
2457222.79586,2015-07-19.2972696,bb,1.73,13.706,8.001,0.003,2419.023,7.559
2457222.79734,2015-07-19.2987466,bb,1.70,13.688,7.966,0.004,2499.395,8.296
2457227.78651,2015-07-24.2880390,bb,1.98,13.652,7.926,0.004,2590.798,9.247
2457227.78794,2015-07-24.2894710,bb,2.00,13.663,7.944,0.004,2547.825,9.149
2457232.81093,2015-07-29.3125696,bb,1.90,13.269,7.983,0.014,2458.590,32.606
2457232.81235,2015-07-29.3139842,bb,1.87,12.971,7.877,0.002,2709.867,5.519
2457233.80501,2015-07-30.3066673,bb,2.02,13.684,7.943,0.005,2549.054,11.157
2457233.80646,2015-07-30.3081190,bb,2.05,13.719,8.011,0.005,2395.654,11.162
2457235.76021,2015-08-01.2618989,bb,2.00,13.720,7.979,0.005,2466.521,11.009
2457235.76165,2015-08-01.2633429,bb,1.98,13.705,7.941,0.005,2553.785,11.324
2457240.78617,2015-08-06.2879579,bb,1.85,13.695,7.937,0.003,2564.405,7.835
2457240.78756,2015-08-06.2893418,bb,1.79,13.677,7.895,0.004,2664.264,10.254
2457243.77411,2015-08-09.2759461,bb,1.98,13.691,7.955,0.003,2523.870,7.119
2457243.77551,2015-08-09.2773479,bb,2.02,13.672,7.915,0.004,2616.673,8.533
2457245.76698,2015-08-11.2688361,bb,2.06,13.655,7.886,0.004,2687.717,10.110
2457245.76838,2015-08-11.2702423,bb,2.00,13.675,7.920,0.004,2605.228,9.157
2457247.76330,2015-08-13.2651872,bb,2.12,13.507,7.951,0.004,2532.325,10.083
2457247.76473,2015-08-13.2666171,bb,2.13,13.470,7.945,0.005,2546.455,12.627
2457250.75286,2015-08-16.2547790,bb,2.15,13.533,7.922,0.005,2600.331,11.570
