HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457818.95538,2017-03-06.4533807,bb,1.84,13.652,7.940,0.005,2557.383,11.580
2457818.95666,2017-03-06.4546655,bb,1.80,13.658,7.951,0.004,2532.473,9.380
2457818.95795,2017-03-06.4559498,bb,1.84,13.653,7.943,0.004,2552.099,10.388
2457819.95941,2017-03-07.4574199,bb,1.74,13.664,7.966,0.005,2496.530,11.129
2457819.96068,2017-03-07.4586884,bb,1.79,13.669,7.982,0.004,2461.531,9.960
2457819.96198,2017-03-07.4599872,bb,1.78,13.691,8.024,0.005,2368.692,9.999
2457825.96089,2017-03-13.4589141,bb,1.64,13.710,8.051,0.004,2308.995,9.018
2457825.96216,2017-03-13.4601865,bb,1.64,13.709,8.048,0.005,2315.455,10.255
2457825.96344,2017-03-13.4614667,bb,1.66,13.746,8.114,0.005,2179.149,10.947
2457829.02929,2017-03-16.5273424,bb,1.70,13.723,8.020,0.004,2375.515,8.961
2457829.03057,2017-03-16.5286195,bb,1.78,13.735,8.045,0.004,2321.559,8.532
2457829.03185,2017-03-16.5298927,bb,1.75,13.713,7.992,0.004,2438.468,8.599
2457832.05334,2017-03-19.5514173,bb,1.75,13.705,7.972,0.003,2485.175,7.570
2457832.05463,2017-03-19.5527028,bb,1.71,13.714,7.982,0.004,2458.822,8.871
2457832.05590,2017-03-19.5539762,bb,1.74,13.713,7.985,0.004,2453.517,8.919
2457835.03823,2017-03-22.5363346,bb,1.75,13.709,7.987,0.003,2450.486,7.852
2457835.03951,2017-03-22.5376150,bb,1.75,13.710,7.982,0.004,2460.419,8.119
2457835.04079,2017-03-22.5388916,bb,1.71,13.723,8.007,0.004,2405.775,8.364
2457837.93738,2017-03-25.4355230,bb,2.19,13.608,7.897,0.004,2659.286,9.093
2457837.93865,2017-03-25.4367953,bb,2.24,13.614,7.908,0.004,2634.845,9.138
2457837.93992,2017-03-25.4380570,bb,2.26,13.601,7.906,0.003,2639.485,8.271
2457841.01328,2017-03-28.5114555,bb,2.07,13.704,7.977,0.004,2472.317,8.681
2457841.01454,2017-03-28.5127240,bb,2.05,13.686,7.986,0.003,2451.320,6.443
2457841.01582,2017-03-28.5139994,bb,1.97,13.629,7.994,0.003,2435.378,7.625
2457846.87801,2017-04-03.3762807,bb,2.17,13.657,8.011,0.004,2397.437,8.799
2457846.87929,2017-04-03.3775601,bb,2.05,13.684,8.030,0.004,2353.769,9.444
2457846.88056,2017-04-03.3788318,bb,2.21,13.627,7.973,0.004,2482.633,9.634
2457847.99549,2017-04-04.4937769,bb,1.67,13.704,7.976,0.003,2475.549,6.436
2457847.99676,2017-04-04.4950484,bb,1.76,13.733,8.023,0.004,2370.865,8.363
2457847.99802,2017-04-04.4963125,bb,1.73,13.705,7.965,0.004,2499.699,8.847
2457848.87848,2017-04-05.3767893,bb,1.84,13.691,8.020,0.004,2376.257,9.526
2457848.87974,2017-04-05.3780447,bb,1.78,13.697,8.031,0.004,2353.664,9.227
2457848.88101,2017-04-05.3793111,bb,1.76,13.698,8.024,0.005,2366.675,10.780
2457850.11415,2017-04-06.6124807,bb,1.74,13.703,7.991,0.004,2438.742,8.932
2457850.11542,2017-04-06.6137482,bb,1.75,13.678,7.942,0.004,2553.240,9.654
2457851.86574,2017-04-08.3641003,bb,1.80,13.699,8.056,0.005,2298.611,10.135
2457851.86700,2017-04-08.3653634,bb,1.73,13.674,8.004,0.005,2412.953,10.574
2457851.86827,2017-04-08.3666347,bb,1.75,13.708,8.063,0.005,2283.589,9.616
2457853.99942,2017-04-10.497825,bb,1.97,99.990,99.990,99.990,99.990,99.990
2457854.99057,2017-04-11.4889930,bb,1.76,13.762,8.141,0.005,2124.314,9.211
2457859.03586,2017-04-15.5343771,bb,1.97,13.694,7.983,0.004,2457.965,9.248
2457859.03713,2017-04-15.5356502,bb,1.77,13.687,7.975,0.003,2477.603,6.968
