star,hjd,dv,err
HD129798,2450986.74679,-1.334,0.012
HD129798,2450986.76483,-1.320,0.016
HD129798,2450986.77789,-1.316,0.006
HD129798,2450987.74552,-1.322,0.011
HD129798,2450989.68647,-1.283,0.020
HD129798,2450989.74520,-1.282,0.016
HD129798,2450990.68190,-1.290,0.018
HD129798,2450990.74186,-1.288,0.013
HD129798,2450990.75997,-1.301,0.016
HD129798,2450991.68185,-1.291,0.013
HD129798,2450991.75751,-1.279,0.014
HD129798,2450992.68179,-1.278,0.010
HD129798,2450992.73500,-1.281,0.010
HD129798,2450993.73360,-1.268,0.011
HD129798,2450993.75233,-1.312,0.019
HD129798,2450994.75113,-1.287,0.007
HD129798,2450994.76474,-1.287,0.015
HD129798,2450995.70630,-1.280,0.006
HD129798,2450995.75107,-1.307,0.006
HD129798,2450996.70628,-1.332,0.006
HD129798,2450996.73008,-1.293,0.013
HD129798,2450996.74384,-1.303,0.010
HD129798,2450997.70497,-1.259,0.010
HD129798,2450997.74020,-1.265,0.015
HD129798,2451168.05460,-1.287,0.003
HD129798,2451169.05584,-1.264,0.004
HD129798,2451172.04707,-1.283,0.002
HD129798,2451172.05072,-1.292,0.002
HD129798,2451173.04512,-1.288,0.001
HD129798,2451173.04878,-1.286,0.002
HD129798,2451174.04264,-1.310,0.003
HD129798,2451174.05915,-1.287,0.008
HD129798,2451176.03382,-1.286,0.002
HD129798,2451176.03749,-1.286,0.001
HD129798,2451177.03100,-1.290,0.003
HD129798,2451177.03466,-1.290,0.001
HD129798,2451177.05960,-1.288,0.003
HD129798,2451179.02843,-1.294,0.010
HD129798,2451180.02222,-1.288,0.006
HD129798,2451180.02588,-1.296,0.004
HD129798,2451180.05086,-1.293,0.003
HD129798,2451181.01990,-1.287,0.003
HD129798,2451181.02357,-1.283,0.005
HD129798,2451181.04856,-1.290,0.002
HD129798,2451182.01869,-1.289,0.002
HD129798,2451182.02235,-1.285,0.004
HD129798,2451182.03886,-1.289,0.002
HD129798,2451183.01330,-1.285,0.000
HD129798,2451183.01696,-1.286,0.001
HD129798,2451183.04188,-1.288,0.002
HD129798,2451184.01198,-1.290,0.005
HD129798,2451184.01563,-1.288,0.001
HD129798,2451184.04059,-1.287,0.003
HD129798,2451185.00977,-1.288,0.017
HD129798,2451185.01343,-1.284,0.013
HD129798,2451185.01707,-1.285,0.002
HD129798,2451186.00321,-1.278,0.009
HD129798,2451186.00687,-1.287,0.003
HD129798,2451186.03189,-1.286,0.001
HD129798,2451187.00096,-1.288,0.002
HD129798,2451187.00462,-1.274,0.015
HD129798,2451187.02954,-1.289,0.002
HD129798,2451188.00160,-1.277,0.006
HD129798,2451188.00526,-1.282,0.003
HD129798,2451188.00893,-1.288,0.002
HD129798,2451189.99316,-1.288,0.002
HD129798,2451189.99682,-1.288,0.001
HD129798,2451190.01475,-1.286,0.003
HD129798,2451190.99956,-1.282,0.006
HD129798,2451191.99304,-1.287,0.001
HD129798,2451191.99672,-1.282,0.001
HD129798,2451192.01372,-1.287,0.004
HD129798,2451193.00514,-1.288,0.007
HD129798,2451193.98493,-1.295,0.003
HD129798,2451193.98862,-1.290,0.005
HD129798,2451194.98367,-1.292,0.003
HD129798,2451194.98734,-1.286,0.001
HD129798,2451196.00797,-1.251,0.006
HD129798,2451196.97604,-1.294,0.003
HD129798,2451196.97972,-1.288,0.002
HD129798,2451197.00475,-1.287,0.005
HD129798,2451197.97142,-1.289,0.003
HD129798,2451197.97509,-1.287,0.002
HD129798,2451198.00116,-1.287,0.001
HD129798,2451198.96931,-1.288,0.005
HD129798,2451198.97299,-1.288,0.003
HD129798,2451200.96312,-1.275,0.015
HD129798,2451201.96133,-1.282,0.004
HD129798,2451201.96499,-1.284,0.003
HD129798,2451202.96402,-1.282,0.017
HD129798,2451206.94867,-1.286,0.003
HD129798,2451206.95233,-1.282,0.006
HD129798,2451206.96881,-1.282,0.004
HD129798,2451207.94858,-1.285,0.002
HD129798,2451207.95224,-1.283,0.003
HD129798,2451208.03231,-1.284,0.006
HD129798,2451208.94686,-1.289,0.003
HD129798,2451208.95051,-1.285,0.002
HD129798,2451212.93293,-1.280,0.003
HD129798,2451212.93659,-1.283,0.002
HD129798,2451213.03557,-1.290,0.004
HD129798,2451215.92435,-1.283,0.002
HD129798,2451215.92799,-1.280,0.002
HD129798,2451216.01167,-1.287,0.002
HD129798,2451216.92283,-1.286,0.003
HD129798,2451216.92649,-1.292,0.003
HD129798,2451217.03097,-1.283,0.001
HD129798,2451218.92137,-1.291,0.003
HD129798,2451219.01416,-1.269,0.020
HD129798,2451219.91503,-1.289,0.002
HD129798,2451219.91867,-1.286,0.003
HD129798,2451220.03704,-1.289,0.008
HD129798,2451220.91463,-1.271,0.014
HD129798,2451221.90657,-1.290,0.010
HD129798,2451221.91023,-1.285,0.005
HD129798,2451221.93920,-1.277,0.011
HD129798,2451222.90620,-1.290,0.002
HD129798,2451222.90986,-1.289,0.005
HD129798,2451223.02745,-1.294,0.012
HD129798,2451223.90275,-1.290,0.003
HD129798,2451223.90641,-1.286,0.002
HD129798,2451224.02864,-1.286,0.009
HD129798,2451225.89741,-1.291,0.013
HD129798,2451225.90106,-1.285,0.008
HD129798,2451227.89141,-1.288,0.001
HD129798,2451227.89507,-1.291,0.002
HD129798,2451227.91162,-1.283,0.013
HD129798,2451228.92071,-1.287,0.002
HD129798,2451230.88549,-1.292,0.002
HD129798,2451231.94379,-1.265,0.014
HD129798,2451232.87667,-1.291,0.001
HD129798,2451232.88032,-1.289,0.003
HD129798,2451233.87494,-1.287,0.001
HD129798,2451233.87861,-1.281,0.007
HD129798,2451233.98556,-1.284,0.015
HD129798,2451235.86881,-1.285,0.005
HD129798,2451235.87248,-1.290,0.002
HD129798,2451236.86893,-1.295,0.002
HD129798,2451236.87260,-1.288,0.006
HD129798,2451237.86459,-1.293,0.004
HD129798,2451237.86826,-1.285,0.005
HD129798,2451238.86125,-1.284,0.017
HD129798,2451238.86492,-1.289,0.008
HD129798,2451238.99995,-1.296,0.016
HD129798,2451239.85988,-1.292,0.002
HD129798,2451239.86355,-1.291,0.003
HD129798,2451239.99750,-1.291,0.002
HD129798,2451240.85472,-1.287,0.001
HD129798,2451240.85836,-1.292,0.002
HD129798,2451240.87099,-1.288,0.003
HD129798,2451246.83708,-1.285,0.003
HD129798,2451246.84077,-1.285,0.002
HD129798,2451248.83322,-1.285,0.004
HD129798,2451248.83693,-1.289,0.001
HD129798,2451248.85851,-1.291,0.008
HD129798,2451250.82810,-1.285,0.005
HD129798,2451250.83176,-1.288,0.004
HD129798,2451250.85298,-1.292,0.002
HD129798,2451251.82593,-1.292,0.003
HD129798,2451251.82960,-1.289,0.002
HD129798,2451251.84631,-1.286,0.010
HD129798,2451253.82060,-1.285,0.002
HD129798,2451253.82425,-1.287,0.002
HD129798,2451253.84114,-1.288,0.002
HD129798,2451256.81160,-1.291,0.007
HD129798,2451256.81526,-1.287,0.005
HD129798,2451256.94852,-1.280,0.005
HD129798,2451257.81046,-1.295,0.003
HD129798,2451257.81413,-1.286,0.002
HD129798,2451257.94631,-1.284,0.003
HD129798,2451258.80720,-1.292,0.005
HD129798,2451258.81088,-1.278,0.019
HD129798,2451258.94028,-1.287,0.004
HD129798,2451259.80264,-1.289,0.002
HD129798,2451259.80633,-1.295,0.001
HD129798,2451259.93942,-1.293,0.004
HD129798,2451261.79794,-1.289,0.002
HD129798,2451261.80163,-1.291,0.003
HD129798,2451262.79642,-1.285,0.007
HD129798,2451262.80011,-1.281,0.008
HD129798,2451262.92253,-1.287,0.005
HD129798,2451264.79173,-1.297,0.012
HD129798,2451264.79540,-1.285,0.020
HD129798,2451265.01805,-1.286,0.004
HD129798,2451265.78747,-1.290,0.002
HD129798,2451265.79113,-1.283,0.001
HD129798,2451265.92718,-1.288,0.008
HD129798,2451266.78591,-1.293,0.007
HD129798,2451266.78960,-1.294,0.002
HD129798,2451266.91908,-1.287,0.006
HD129798,2451268.77767,-1.292,0.007
HD129798,2451274.76268,-1.284,0.003
HD129798,2451274.76636,-1.293,0.010
HD129798,2451274.87656,-1.283,0.002
HD129798,2451278.75137,-1.280,0.003
HD129798,2451278.75503,-1.287,0.001
HD129798,2451278.88810,-1.291,0.007
HD129798,2451282.74432,-1.290,0.003
HD129798,2451282.88964,-1.280,0.002
HD129798,2451283.73724,-1.287,0.002
HD129798,2451283.74089,-1.287,0.002
HD129798,2451284.73888,-1.294,0.002
HD129798,2451284.86860,-1.293,0.006
HD129798,2451285.73197,-1.284,0.016
HD129798,2451285.73564,-1.287,0.007
HD129798,2451285.86779,-1.289,0.009
HD129798,2451286.73094,-1.286,0.010
HD129798,2451286.73460,-1.292,0.003
HD129798,2451287.72884,-1.292,0.003
HD129798,2451287.73248,-1.290,0.002
HD129798,2451288.72553,-1.283,0.004
HD129798,2451288.72918,-1.289,0.001
HD129798,2451288.85764,-1.286,0.004
HD129798,2451289.72209,-1.260,0.010
HD129798,2451289.72573,-1.439,0.020
HD129798,2451290.71956,-1.285,0.003
HD129798,2451290.74294,-1.294,0.002
HD129798,2451290.86521,-1.296,0.010
HD129798,2451291.72235,-1.292,0.005
HD129798,2451291.86057,-1.292,0.012
HD129798,2451292.71855,-1.294,0.002
HD129798,2451292.74193,-1.299,0.005
HD129798,2451292.86253,-1.280,0.004
HD129798,2451293.71304,-1.286,0.004
HD129798,2451293.72056,-1.293,0.003
HD129798,2451293.84839,-1.269,0.009
HD129798,2451294.70871,-1.289,0.001
HD129798,2451294.71239,-1.288,0.002
HD129798,2451294.84816,-1.292,0.009
HD129798,2451295.70488,-1.288,0.005
HD129798,2451295.72250,-1.281,0.016
HD129798,2451295.84345,-1.301,0.007
HD129798,2451296.70163,-1.286,0.003
HD129798,2451296.70940,-1.293,0.003
HD129798,2451296.83446,-1.275,0.015
HD129798,2451297.70164,-1.281,0.004
HD129798,2451297.70532,-1.275,0.019
HD129798,2451299.72969,-1.286,0.013
HD129798,2451299.77170,-1.293,0.006
HD129798,2451299.88271,-1.287,0.008
HD129798,2451300.69402,-1.285,0.005
HD129798,2451300.71740,-1.273,0.016
HD129798,2451300.83112,-1.283,0.011
HD129798,2451301.71779,-1.271,0.012
HD129798,2451303.68393,-1.292,0.006
HD129798,2451303.72035,-1.285,0.008
HD129798,2451303.85964,-1.292,0.003
HD129798,2451304.67992,-1.289,0.004
HD129798,2451304.73195,-1.291,0.001
HD129798,2451304.86064,-1.286,0.003
HD129798,2451305.68035,-1.293,0.006
HD129798,2451305.73227,-1.291,0.005
HD129798,2451305.86099,-1.287,0.007
HD129798,2451306.67855,-1.300,0.001
HD129798,2451306.85417,-1.285,0.004
HD129798,2451307.67766,-1.291,0.003
HD129798,2451307.85955,-1.288,0.003
HD129798,2451308.67811,-1.286,0.004
HD129798,2451308.72961,-1.286,0.003
HD129798,2451309.81627,-1.287,0.002
HD129798,2451310.68303,-1.278,0.009
HD129798,2451310.74228,-1.288,0.005
HD129798,2451310.84688,-1.287,0.006
HD129798,2451311.67990,-1.274,0.016
HD129798,2451311.73921,-1.288,0.015
HD129798,2451312.67687,-1.284,0.001
HD129798,2451312.73630,-1.296,0.003
HD129798,2451312.84127,-1.294,0.004
HD129798,2451313.67582,-1.275,0.018
HD129798,2451313.73513,-1.287,0.003
HD129798,2451313.83968,-1.290,0.003
HD129798,2451314.67641,-1.273,0.015
HD129798,2451314.73056,-1.278,0.011
HD129798,2451314.83582,-1.293,0.002
HD129798,2451315.67500,-1.281,0.011
HD129798,2451315.72896,-1.288,0.002
HD129798,2451316.72753,-1.287,0.004
HD129798,2451317.67372,-1.279,0.002
HD129798,2451317.72817,-1.287,0.001
HD129798,2451317.82693,-1.273,0.013
HD129798,2451318.67422,-1.286,0.007
HD129798,2451318.72831,-1.285,0.004
HD129798,2451319.67600,-1.287,0.001
HD129798,2451319.73297,-1.288,0.002
HD129798,2451319.84041,-1.292,0.005
HD129798,2451320.68035,-1.291,0.005
HD129798,2451320.73363,-1.287,0.003
HD129798,2451320.84270,-1.286,0.003
HD129798,2451321.68068,-1.288,0.003
HD129798,2451321.73777,-1.287,0.009
HD129798,2451321.83780,-1.277,0.002
HD129798,2451322.67905,-1.297,0.002
HD129798,2451322.73621,-1.292,0.005
HD129798,2451322.83239,-1.288,0.009
HD129798,2451324.77004,-1.285,0.006
HD129798,2451325.68010,-1.286,0.004
HD129798,2451326.70233,-1.287,0.007
HD129798,2451326.78386,-1.299,0.008
HD129798,2451327.67771,-1.287,0.002
HD129798,2451327.73985,-1.300,0.009
HD129798,2451327.82442,-1.290,0.002
HD129798,2451329.82710,-1.279,0.008
HD129798,2451330.68531,-1.288,0.002
HD129798,2451330.73702,-1.291,0.007
HD129798,2451331.82178,-1.300,0.007
HD129798,2451333.68635,-1.282,0.008
HD129798,2451333.73778,-1.286,0.002
HD129798,2451334.68674,-1.293,0.004
HD129798,2451334.73820,-1.286,0.003
HD129798,2451334.81412,-1.289,0.005
HD129798,2451335.68710,-1.286,0.007
HD129798,2451335.73864,-1.292,0.003
HD129798,2451336.68597,-1.284,0.003
HD129798,2451336.73629,-1.293,0.003
HD129798,2451336.80812,-1.289,0.004
HD129798,2451337.68263,-1.271,0.009
HD129798,2451337.73302,-1.285,0.004
HD129798,2451338.68299,-1.290,0.001
HD129798,2451338.76084,-1.287,0.004
HD129798,2451338.80268,-1.269,0.018
HD129798,2451339.68721,-1.287,0.001
HD129798,2451339.73567,-1.299,0.004
HD129798,2451340.73596,-1.295,0.006
HD129798,2451341.68783,-1.278,0.005
HD129798,2451341.75472,-1.287,0.006
HD129798,2451342.76259,-1.277,0.004
HD129798,2451342.80310,-1.282,0.009
HD129798,2451343.75271,-1.293,0.003
HD129798,2451344.69144,-1.272,0.015
HD129798,2451344.75343,-1.282,0.007
HD129798,2451348.68393,-1.302,0.005
HD129798,2451348.74572,-1.280,0.017
HD129798,2451349.69559,-1.311,0.018
HD129798,2451350.68424,-1.288,0.007
HD129798,2451350.75088,-1.302,0.004
HD129798,2451350.78145,-1.308,0.019
HD129798,2451351.67165,-1.282,0.012
HD129798,2451351.70251,-1.300,0.007
HD129798,2451352.67856,-1.291,0.005
HD129798,2451352.72828,-1.291,0.006
HD129798,2451353.75333,-1.295,0.010
HD129798,2451354.68162,-1.283,0.005
HD129798,2451354.73898,-1.293,0.003
HD129798,2451355.68074,-1.286,0.015
HD129798,2451355.73703,-1.288,0.006
HD129798,2451355.76758,-1.291,0.006
HD129798,2451359.76493,-1.297,0.006
HD129798,2451360.68042,-1.272,0.013
HD129798,2451532.05630,-2.529,0.002
HD129798,2451533.05694,-2.528,0.006
HD129798,2451534.05468,-2.523,0.005
HD129798,2451537.04761,-2.524,0.004
HD129798,2451537.05129,-2.533,0.004
HD129798,2451538.04501,-2.531,0.006
HD129798,2451538.04870,-2.526,0.004
HD129798,2451538.05240,-2.529,0.002
HD129798,2451540.03804,-2.523,0.007
HD129798,2451540.04170,-2.531,0.003
HD129798,2451541.02984,-2.530,0.009
HD129798,2451541.03353,-2.528,0.004
HD129798,2451541.03719,-2.534,0.008
HD129798,2451545.04564,-2.526,0.007
HD129798,2451545.04932,-2.517,0.004
HD129798,2451546.02132,-2.510,0.010
HD129798,2451546.02501,-2.525,0.002
HD129798,2451547.01907,-2.524,0.004
HD129798,2451547.02276,-2.519,0.004
HD129798,2451547.04784,-2.514,0.004
HD129798,2451548.01288,-2.527,0.005
HD129798,2451548.01656,-2.523,0.003
HD129798,2451549.01430,-2.524,0.001
HD129798,2451549.01800,-2.521,0.002
HD129798,2451550.01008,-2.524,0.002
HD129798,2451550.01378,-2.524,0.003
HD129798,2451551.00912,-2.504,0.014
HD129798,2451551.01283,-2.519,0.003
HD129798,2451552.00591,-2.526,0.004
HD129798,2451552.00961,-2.516,0.003
HD129798,2451553.99745,-1.282,0.003
HD129798,2451554.00115,-1.279,0.002
HD129798,2451554.99676,-1.286,0.004
HD129798,2451555.00046,-1.286,0.003
HD129798,2451555.99299,-1.286,0.001
HD129798,2451555.99668,-1.283,0.001
HD129798,2451556.99120,-1.286,0.002
HD129798,2451556.99490,-1.283,0.004
HD129798,2451558.98467,-1.266,0.006
HD129798,2451559.98308,-1.288,0.002
HD129798,2451559.98678,-1.287,0.003
HD129798,2451560.98089,-1.286,0.004
HD129798,2451560.98460,-1.291,0.004
HD129798,2451563.00418,-1.288,0.002
HD129798,2451564.96880,-1.272,0.017
HD129798,2451564.97251,-1.289,0.003
HD129798,2451566.96896,-1.267,0.013
HD129798,2451569.98014,-1.282,0.002
HD129798,2451570.95434,-1.284,0.005
HD129798,2451570.95812,-1.292,0.002
HD129798,2451571.94943,-1.288,0.002
HD129798,2451571.95310,-1.285,0.002
HD129798,2451573.94787,-1.283,0.003
HD129798,2451573.95158,-1.284,0.002
HD129798,2451574.99205,-1.283,0.001
HD129798,2451574.99697,-1.284,0.001
HD129798,2451577.93425,-1.284,0.001
HD129798,2451577.93795,-1.281,0.003
HD129798,2451578.92939,-1.290,0.001
HD129798,2451578.93310,-1.286,0.011
HD129798,2451579.93009,-1.289,0.003
HD129798,2451579.93381,-1.282,0.001
HD129798,2451580.92522,-1.286,0.003
HD129798,2451580.92891,-1.290,0.001
HD129798,2451581.92225,-1.282,0.004
HD129798,2451581.92593,-1.288,0.002
HD129798,2451582.92552,-1.289,0.008
HD129798,2451584.91348,-1.282,0.002
HD129798,2451584.91717,-1.283,0.002
HD129798,2451585.91074,-1.275,0.003
HD129798,2451585.91440,-1.281,0.001
HD129798,2451585.97056,-1.277,0.005
HD129798,2451586.91202,-1.286,0.003
HD129798,2451586.91570,-1.276,0.018
HD129798,2451588.90370,-1.288,0.002
HD129798,2451588.90740,-1.289,0.006
HD129798,2451590.89766,-1.286,0.004
HD129798,2451590.90136,-1.288,0.003
HD129798,2451591.89711,-1.287,0.013
HD129798,2451592.89595,-1.287,0.017
HD129798,2451592.89963,-1.280,0.003
HD129798,2451594.03647,-1.289,0.001
HD129798,2451595.88285,-1.287,0.005
HD129798,2451595.88653,-1.283,0.006
HD129798,2451601.87162,-1.285,0.002
HD129798,2451603.87009,-1.297,0.014
HD129798,2451605.86090,-1.283,0.003
HD129798,2451605.86459,-1.287,0.005
HD129798,2451606.85686,-1.282,0.003
HD129798,2451606.86056,-1.288,0.003
HD129798,2451607.85406,-1.265,0.014
HD129798,2451607.85775,-1.284,0.001
HD129798,2451613.83825,-1.287,0.004
HD129798,2451613.95407,-1.289,0.006
HD129798,2451614.83507,-1.285,0.001
HD129798,2451615.94176,-1.283,0.002
HD129798,2451618.82563,-1.288,0.001
HD129798,2451618.96988,-1.288,0.002
HD129798,2451620.81638,-1.285,0.020
HD129798,2451621.96641,-1.291,0.001
HD129798,2451622.95843,-1.284,0.002
HD129798,2451623.96210,-1.289,0.001
HD129798,2451628.93915,-1.277,0.006
HD129798,2451629.92844,-1.268,0.017
HD129798,2451630.92327,-1.281,0.007
HD129798,2451632.93658,-1.289,0.002
HD129798,2451633.98793,-1.278,0.017
HD129798,2451635.92287,-1.283,0.002
HD129798,2451637.91490,-1.289,0.002
HD129798,2451638.91395,-1.285,0.002
HD129798,2451639.91893,-1.290,0.007
HD129798,2451640.91435,-1.271,0.019
HD129798,2451641.90218,-1.260,0.007
HD129798,2451644.89827,-1.282,0.012
HD129798,2451645.92970,-1.281,0.002
HD129798,2451646.89822,-1.287,0.003
HD129798,2451647.92316,-1.282,0.010
HD129798,2451648.95470,-1.285,0.005
HD129798,2451649.88494,-1.283,0.003
HD129798,2451650.88334,-1.285,0.002
HD129798,2451651.85245,-1.277,0.005
HD129798,2451652.86504,-1.282,0.004
HD129798,2451653.87606,-1.280,0.003
HD129798,2451654.87222,-1.288,0.007
HD129798,2451656.90224,-1.281,0.003
HD129798,2451657.90067,-1.278,0.003
HD129798,2451658.91860,-1.266,0.016
HD129798,2451659.92129,-1.286,0.005
HD129798,2451662.88590,-1.280,0.014
HD129798,2451663.91172,-1.279,0.009
HD129798,2451664.88081,-1.292,0.003
HD129798,2451665.89959,-1.283,0.007
HD129798,2451667.87308,-1.272,0.016
HD129798,2451668.89139,-1.290,0.019
HD129798,2451670.86206,-1.287,0.007
HD129798,2451671.86209,-1.281,0.005
HD129798,2451674.85413,-1.273,0.007
HD129798,2451675.85047,-1.282,0.005
HD129798,2451679.86339,-1.277,0.009
HD129798,2451681.82900,-1.281,0.004
HD129798,2451683.85078,-1.284,0.006
HD129798,2451684.84611,-1.275,0.012
HD129798,2451685.85140,-1.295,0.006
HD129798,2451686.84816,-1.292,0.008
HD129798,2451687.86614,-1.270,0.011
HD129798,2451689.83932,-1.283,0.011
HD129798,2451691.83396,-1.291,0.014
HD129798,2451693.84617,-1.269,0.004
HD129798,2451698.81549,-1.290,0.002
HD129798,2451705.79794,-1.273,0.008
HD129798,2451707.79104,-1.299,0.013
HD129798,2451708.80531,-1.286,0.006
HD129798,2451710.78202,-1.287,0.003
HD129798,2451728.74953,-1.297,0.015
HD129798,2451729.73044,-1.294,0.003
HD129798,2451731.74415,-1.289,0.010
HD129798,2451992.81489,-1.285,0.001
HD129798,2451993.00535,-1.274,0.015
HD129798,2452035.85578,-1.282,0.002
HD129798,2452050.84062,-1.276,0.007
HD129798,2452052.83554,-1.279,0.011
HD129798,2452054.83318,-1.282,0.012
HD129798,2452065.72879,-1.285,0.004
HD129798,2452067.72311,-1.285,0.003
HD129798,2452071.78787,-1.290,0.002
HD129798,2452076.71856,-1.284,0.009
HD129798,2452078.74604,-1.283,0.018
HD129798,2452321.05116,-1.395,0.017
HD129798,2452326.03795,-1.280,0.003
HD129798,2452326.04200,-1.280,0.002
HD129798,2452327.03842,-1.282,0.003
HD129798,2452327.04244,-1.283,0.002
HD129798,2452328.03747,-1.290,0.006
HD129798,2452328.04149,-1.284,0.004
HD129798,2452329.03476,-1.280,0.003
HD129798,2452329.03879,-1.271,0.005
HD129798,2452332.01984,-1.284,0.006
HD129798,2452332.02393,-1.278,0.003
HD129798,2452336.01418,-1.292,0.003
HD129798,2452336.01818,-1.285,0.003
HD129798,2452337.00663,-1.281,0.001
HD129798,2452337.01065,-1.285,0.002
HD129798,2452337.03657,-1.289,0.006
HD129798,2452338.00589,-1.278,0.001
HD129798,2452338.00992,-1.279,0.004
HD129798,2452338.03285,-1.284,0.005
HD129798,2452339.00454,-1.285,0.002
HD129798,2452339.00860,-1.287,0.004
HD129798,2452339.03043,-1.284,0.003
HD129798,2452340.00428,-1.287,0.002
HD129798,2452340.00831,-1.289,0.005
HD129798,2452340.02758,-1.299,0.017
HD129798,2452343.99251,-1.283,0.002
HD129798,2452343.99655,-1.289,0.001
HD129798,2452344.01781,-1.286,0.004
HD129798,2452344.98536,-1.282,0.004
HD129798,2452344.98940,-1.284,0.002
HD129798,2452345.01388,-1.278,0.003
HD129798,2452345.98561,-1.282,0.002
HD129798,2452345.98968,-1.281,0.005
HD129798,2452346.01148,-1.284,0.002
HD129798,2452346.98337,-1.279,0.003
HD129798,2452346.98741,-1.291,0.007
HD129798,2452347.00789,-1.294,0.005
HD129798,2452349.97521,-1.287,0.001
HD129798,2452349.97925,-1.279,0.002
HD129798,2452349.99975,-1.294,0.011
HD129798,2452350.97458,-1.271,0.008
HD129798,2452350.99764,-1.285,0.002
HD129798,2452351.97025,-1.289,0.005
HD129798,2452351.99497,-1.286,0.002
HD129798,2452352.96791,-1.288,0.004
HD129798,2452352.97199,-1.282,0.005
HD129798,2452352.99342,-1.300,0.011
HD129798,2452353.96582,-1.291,0.004
HD129798,2452353.96988,-1.290,0.005
HD129798,2452353.98991,-1.293,0.005
HD129798,2452354.95729,-1.288,0.002
HD129798,2452354.98707,-1.287,0.003
HD129798,2452356.95735,-1.285,0.002
HD129798,2452356.96139,-1.289,0.004
HD129798,2452356.98063,-1.287,0.002
HD129798,2452357.95018,-1.284,0.002
HD129798,2452357.95425,-1.283,0.002
HD129798,2452357.97878,-1.282,0.001
HD129798,2452358.94711,-1.280,0.002
HD129798,2452358.95115,-1.285,0.002
HD129798,2452358.97573,-1.282,0.003
HD129798,2452359.94876,-1.272,0.003
HD129798,2452359.97421,-1.321,0.018
HD129798,2452360.94034,-1.356,0.011
HD129798,2452360.94446,-1.263,0.020
HD129798,2452362.93922,-1.288,0.005
HD129798,2452362.94327,-1.295,0.008
HD129798,2452362.96612,-1.292,0.002
HD129798,2452363.93699,-1.283,0.005
HD129798,2452363.94103,-1.299,0.013
HD129798,2452363.96174,-1.299,0.014
HD129798,2452364.93001,-1.285,0.004
HD129798,2452364.93406,-1.287,0.003
HD129798,2452364.95927,-1.285,0.001
HD129798,2452365.92798,-1.289,0.004
HD129798,2452365.93202,-1.287,0.003
HD129798,2452365.95660,-1.286,0.002
HD129798,2452366.92764,-1.284,0.003
HD129798,2452366.93168,-1.284,0.002
HD129798,2452367.92231,-1.288,0.004
HD129798,2452367.95071,-1.289,0.004
HD129798,2452371.91143,-1.283,0.004
HD129798,2452371.91547,-1.282,0.002
HD129798,2452371.94021,-1.279,0.006
HD129798,2452372.90770,-1.293,0.006
HD129798,2452372.91176,-1.287,0.002
HD129798,2452372.93701,-1.282,0.002
HD129798,2452373.91056,-1.286,0.004
HD129798,2452373.91459,-1.286,0.005
HD129798,2452373.93577,-1.292,0.004
HD129798,2452374.90248,-1.282,0.007
HD129798,2452374.90650,-1.287,0.007
HD129798,2452375.90103,-1.290,0.005
HD129798,2452375.90510,-1.285,0.002
HD129798,2452375.92855,-1.281,0.001
HD129798,2452376.90150,-1.285,0.005
HD129798,2452376.90556,-1.290,0.004
HD129798,2452376.92627,-1.282,0.004
HD129798,2452378.92081,-1.286,0.004
HD129798,2452379.88998,-1.287,0.004
HD129798,2452379.89406,-1.285,0.002
HD129798,2452379.91742,-1.281,0.002
HD129798,2452380.88722,-1.288,0.001
HD129798,2452380.89130,-1.280,0.002
HD129798,2452380.91675,-1.286,0.005
HD129798,2452381.88508,-1.286,0.003
HD129798,2452381.88921,-1.285,0.005
HD129798,2452381.91352,-1.288,0.005
HD129798,2452382.88057,-1.272,0.012
HD129798,2452382.88465,-1.284,0.003
HD129798,2452382.90947,-1.282,0.003
HD129798,2452383.88136,-1.282,0.003
HD129798,2452383.88547,-1.288,0.004
HD129798,2452383.90831,-1.283,0.003
HD129798,2452385.87342,-1.293,0.008
HD129798,2452385.87748,-1.274,0.012
HD129798,2452385.90305,-1.284,0.001
HD129798,2452397.84361,-1.286,0.003
HD129798,2452397.84769,-1.293,0.004
HD129798,2452397.86846,-1.284,0.003
HD129798,2452398.84178,-1.293,0.005
HD129798,2452398.86652,-1.244,0.011
HD129798,2452399.83850,-1.286,0.003
HD129798,2452399.84259,-1.290,0.003
HD129798,2452400.83539,-1.292,0.006
HD129798,2452400.83949,-1.288,0.003
HD129798,2452400.86019,-1.284,0.004
HD129798,2452401.83300,-1.291,0.006
HD129798,2452401.83706,-1.287,0.006
HD129798,2452401.85871,-1.298,0.017
HD129798,2452402.82856,-1.285,0.003
HD129798,2452402.83269,-1.282,0.005
HD129798,2452402.85420,-1.284,0.002
HD129798,2452403.82758,-1.292,0.010
HD129798,2452403.83165,-1.296,0.007
HD129798,2452404.82182,-1.291,0.013
HD129798,2452404.84930,-1.288,0.002
HD129798,2452405.82130,-1.290,0.004
HD129798,2452405.82538,-1.288,0.004
HD129798,2452405.84776,-1.281,0.004
HD129798,2452406.81702,-1.296,0.006
HD129798,2452406.82111,-1.295,0.006
HD129798,2452406.84490,-1.284,0.001
HD129798,2452408.81182,-1.298,0.004
HD129798,2452408.81588,-1.292,0.009
HD129798,2452408.83809,-1.293,0.005
HD129798,2452409.83584,-1.287,0.009
HD129798,2452411.80601,-1.285,0.004
HD129798,2452411.81011,-1.290,0.002
HD129798,2452411.82958,-1.285,0.003
HD129798,2452412.79924,-1.305,0.008
